Id,Code,Message
1,bad_request_write_dksecret, Lack of query parameters ‘name’ and/or ‘value’ or 'service'!
2,write_dksecret_success, Create docker secret and distribute it to service/ application container successfully!
3,non_exist_service,  Application service does not exist!
4,existed_secret, Secret already exists!
